Date,Open,High,Low,Close
2000-01-04,2539.5834,2539.5834,2334.1759,2371.5227
2000-01-05,2184.7886,2184.7886,2184.7886,2184.7886
2000-01-06,2128.7695,2147.4429,1998.0555,1998.0555
2000-01-07,1904.6881,2118.4987,1892.5504,1942.0349
2000-01-10,1942.0349,1942.0349,1942.0349,1942.0349
2000-01-11,2128.7678,2128.7678,2120.3648,2128.7678
2000-01-12,2035.4014,2128.7685,2008.3250,2026.9984
2000-01-13,1970.9779,2002.7227,1876.6772,1908.4220
2000-01-14,2054.0754,2095.1569,1932.6982,2007.3918
2000-01-17,2138.1055,2194.1257,2114.7637,2194.1257
2000-01-18,2212.7988,2212.7988,2054.0749,2147.4419
2000-01-19,2156.7783,2166.1150,2012.9931,2052.2073
2000-01-20,2153.9774,2190.3905,2063.4114,2063.4114
2000-01-21,2063.4117,2114.7635,1951.3712,2016.7281
2000-01-24,2054.0747,2201.5946,2018.5952,2119.4316
2000-01-25,2100.7582,2212.7987,2077.4165,2184.7886
2000-01-26,2184.7883,2278.1553,2184.7883,2278.1553
2000-01-27,2315.5027,2352.8495,2259.4825,2315.5027
2000-01-28,2306.1653,2343.5121,2225.8697,2314.5684
2000-01-31,2258.5486,2314.5688,2254.8139,2296.8291
2000-02-01,2334.1765,2364.0540,2231.4727,2364.0540
2000-02-02,2401.4004,2426.6095,2351.9158,2365.9209
2000-02-03,2383.6598,2421.9403,2296.8285,2334.1753
2000-02-04,2371.5223,2408.8691,2280.9563,2287.4919
2000-02-07,2307.0999,2334.1763,2250.1460,2307.0999
2000-02-08,2315.5025,2334.1759,2250.1455,2285.6250
2000-02-09,2229.6040,2250.1447,2147.4410,2181.9868
2000-02-10,2184.7884,2204.3955,2148.3753,2171.7170
2000-02-11,2171.7170,2171.7170,2171.7170,2171.7170
2000-02-14,2184.7885,2230.5383,2035.4012,2230.5383
2000-02-15,2154.9121,2159.5805,2042.8716,2054.0757
2000-02-16,2091.4215,2128.7684,1988.7178,2012.0596
2000-02-17,2142.7744,2198.7947,2110.0960,2198.7947
2000-02-18,2180.1207,2198.7941,2109.1617,2116.6311
2000-02-21,2097.9571,2098.8907,2035.4012,2088.6204
2000-02-22,2107.2946,2108.2283,1989.6521,2007.3918
2000-02-23,1933.6316,1957.9070,1877.6113,1928.0295
2000-02-24,1979.3809,1998.0543,1876.6771,1894.4169
2000-02-25,1857.0700,1956.0391,1849.6007,1926.1616
2000-02-28,1942.0346,1996.1875,1912.1571,1913.0908
2000-02-29,1912.1566,1912.1566,1853.3354,1859.8711
2000-03-01,1934.5647,1934.5647,1854.2691,1859.8711
2000-03-02,1867.3407,1931.7639,1862.6723,1872.0090
2000-03-03,1889.7482,1905.6206,1867.3401,1872.9421
2000-03-06,1914.0236,1932.6970,1825.3249,1829.9933
2000-03-07,1792.6473,1848.6675,1691.8108,1848.6675
2000-03-08,1773.9731,1837.4626,1770.2384,1829.9933
2000-03-09,1848.6670,1848.6670,1728.2236,1764.6367
2000-03-10,1801.9844,1806.6528,1708.6173,1731.9591
2000-03-13,1638.5914,1657.2648,1545.2244,1545.2244
2000-03-14,1507.8781,1731.9591,1507.8781,1731.9591
2000-03-15,1745.9630,1801.0495,1736.6263,1773.0394
2000-03-16,1791.7136,1839.3308,1736.6271,1839.3308
2000-03-17,1842.1310,1848.6667,1821.5903,1829.9933
2000-03-20,1829.9933,1829.9933,1829.9933,1829.9933
2000-03-21,1839.3304,1839.3304,1829.9937,1837.4630
2000-03-22,1839.3307,1842.1317,1764.6371,1773.9738
2000-03-23,1773.9729,1815.9881,1759.9679,1806.6514
2000-03-24,1806.6523,1811.3206,1754.3667,1792.6472
2000-03-27,1801.9839,1820.6573,1703.9485,1792.6472
2000-03-28,1811.3399,1829.0981,1755.2612,1818.8170
2000-03-29,1874.8959,1972.0989,1869.2880,1972.0989
2000-03-30,2009.4841,2088.9288,1981.4448,2028.1770
2000-03-31,1953.4046,2065.5618,1944.9928,2036.5879
2000-04-03,1995.4646,2034.7196,1962.7521,1981.4449
2000-04-04,1944.0593,1962.7522,1859.9413,1879.5688
2000-04-05,1775.8232,1841.2483,1739.3721,1838.4443
2000-04-06,1869.2884,1869.2884,1823.4908,1846.8569
2000-04-07,1902.9343,1995.4640,1869.2871,1953.4050
2000-04-10,2009.4841,2037.5234,1990.7913,2028.1770
2000-04-11,1990.7913,2009.4841,1953.4055,1995.4645
2000-04-12,1906.6736,1920.6933,1826.2942,1864.6146
2000-04-13,1752.4567,1752.4567,1677.6853,1718.8096
2000-04-14,1644.0385,1746.8493,1626.2802,1743.1107
2000-04-17,1780.4964,1930.0394,1589.8290,1626.2802
2000-04-18,1758.0654,1814.1440,1686.0978,1757.1307
2000-04-19,1887.9809,1944.0596,1850.5952,1944.0596
2000-04-20,1981.4456,2046.8707,1906.6741,2046.8707
2000-04-21,2233.7993,2233.7993,2181.4592,2233.7993
2000-04-24,2238.4718,2388.9495,2238.4718,2276.7922
2000-04-25,2236.6033,2380.5385,2196.4136,2196.4136
2000-04-26,2252.4920,2271.1848,2141.2693,2205.7598
2000-04-27,2243.1445,2345.9553,2237.5367,2336.6089
2000-04-28,2341.2835,2392.6889,2309.5056,2309.5056
2000-05-01,2346.8914,2400.1661,2329.1332,2355.3032
2000-05-02,2402.0349,2443.1592,2398.2963,2430.0742
2000-05-03,2430.0742,2430.0742,2430.0742,2430.0742
2000-05-04,2430.0742,2430.0742,2430.0742,2430.0742
2000-05-05,2430.0742,2430.0742,2430.0742,2430.0742
2000-05-08,2486.1526,2537.5580,2448.7668,2448.7668
2000-05-09,2448.7668,2448.7668,2448.7668,2448.7668
2000-05-10,2187.0669,2222.5834,2159.0276,2205.7598
2000-05-11,2112.2940,2130.9869,2023.5029,2036.5879
2000-05-12,2130.0525,2177.7194,2119.7715,2154.3533
2000-05-15,2175.8518,2212.3029,2173.9825,2201.0872
2000-05-16,2238.4725,2327.2637,2229.1260,2277.7275
2000-05-17,2333.8060,2345.9564,2196.4133,2215.1062
2000-05-18,2233.7984,2263.7070,2154.3537,2204.8245
2000-05-19,2186.1315,2196.4126,2127.2490,2177.7197
2000-05-22,2028.1775,2036.5893,1990.7917,2004.8114
2000-05-23,2008.5497,2065.5630,1982.3797,2014.1576
2000-05-24,1976.7721,2084.2561,1953.4060,2037.5239
2000-05-25,2064.6277,2120.7063,2056.2159,2089.8630
2000-05-26,2052.4782,2074.9097,1981.4453,2037.5239
2000-05-29,2047.8049,2112.2953,2032.8506,2048.7395
2000-05-30,2048.7395,2048.7395,2048.7395,2048.7395
2000-05-31,2121.6411,2130.9875,2056.2161,2121.6411
2000-06-01,2121.6411,2177.7197,2099.2097,2177.7197
2000-06-02,2215.1056,2247.8181,2197.3474,2219.7788
2000-06-05,2275.8579,2275.8579,2196.4132,2210.4329
2000-06-06,2202.9551,2265.5762,2188.0008,2259.0337
2000-06-07,2243.1456,2279.5967,2238.4724,2263.7078
2000-06-08,2261.8381,2263.7074,2225.3870,2225.3870
2000-06-09,2188.0014,2233.7989,2174.9164,2179.5896
2000-06-12,2149.6804,2193.6086,2118.8371,2172.1118
2000-06-13,2134.7264,2169.3082,2116.0335,2140.3342
2000-06-14,2145.0080,2166.5048,2075.8443,2102.9490
2000-06-15,2065.5628,2074.9093,2009.4842,2022.5692
2000-06-16,2014.1590,2065.5645,1981.4465,2056.2180
2000-06-19,2073.9753,2120.7075,2060.8903,2120.7075
2000-06-20,2158.0925,2208.5632,2150.6153,2208.5632
2000-06-21,2213.2365,2259.9687,2188.0012,2247.8184
2000-06-22,2230.9949,2259.9689,2201.0863,2227.2563
2000-06-23,2224.4520,2252.4913,2179.5891,2182.3931
2000-06-26,2169.3087,2246.8842,2149.6812,2226.3220
2000-06-27,2245.0147,2307.6358,2238.4721,2303.8972
2000-06-28,2303.8972,2345.0215,2273.0540,2303.8972
2000-06-29,2316.0477,2335.6753,2224.4526,2252.4919
2000-06-30,2233.7990,2233.7990,2198.2825,2210.4329
2000-07-03,2215.1063,2285.2046,2215.1063,2238.4724
2000-07-04,2219.7783,2219.7783,2171.1768,2188.9351
2000-07-05,2170.2430,2188.9359,2139.3997,2169.3083
2000-07-06,2131.9220,2138.4645,2080.5166,2096.4055
2000-07-07,2112.2948,2148.7459,2093.6019,2095.4712
2000-07-10,2130.9883,2196.4134,2114.1647,2149.6812
2000-07-11,2130.9878,2159.0271,2112.2949,2140.3342
2000-07-12,2149.6816,2149.6816,2075.8447,2098.2761
2000-07-13,2098.2755,2098.2755,2042.1968,2057.1511
2000-07-14,2072.1057,2110.4261,2065.5632,2093.6025
2000-07-17,2103.8831,2186.1317,2103.8831,2103.8831
2000-07-18,2094.5372,2101.0797,2019.7656,2050.6089
2000-07-19,2094.5372,2101.0797,2019.7656,2050.6089
2000-07-20,2050.6089,2050.6089,2050.6089,2050.6089
2000-07-21,2056.2169,2056.2169,2000.1383,2000.1383
2000-07-24,1977.7068,1977.7068,1923.4974,1944.0596
2000-07-25,1916.0204,1943.1251,1896.3929,1897.3275
2000-07-26,1897.3272,1911.3468,1850.5950,1859.9414
2000-07-27,1841.2484,1873.9609,1820.6862,1855.2681
2000-07-28,1823.4903,1831.9021,1775.8235,1792.6471
2000-07-31,1736.5688,1741.2420,1673.0130,1707.5948
2000-08-01,1715.0715,1805.7320,1711.3329,1794.5162
2000-08-02,1794.5158,1823.4898,1775.8230,1810.4048
2000-08-03,1807.6010,1807.6010,1743.1105,1746.8491
2000-08-04,1746.8490,1785.1694,1691.7050,1714.1365
2000-08-07,1729.0910,1747.7839,1695.4438,1725.3524
2000-08-08,1730.0263,1738.4381,1707.5948,1707.5948
2000-08-09,1708.5284,1727.2213,1665.5348,1701.0513
2000-08-10,1701.0522,1733.7647,1687.0325,1692.6404
2000-08-11,1673.9474,1695.4442,1666.4702,1673.9474
2000-08-14,1655.2540,1681.4240,1654.3193,1668.3390
2000-08-15,1780.4970,1850.5953,1775.8238,1815.0789
2000-08-16,1833.7709,1879.5684,1816.9473,1875.8298
2000-08-17,1878.6340,1955.2748,1869.2876,1916.0198
2000-08-18,1904.8051,1952.4720,1897.3280,1951.5374
2000-08-21,1923.4968,1925.3661,1861.8103,1861.8103
2000-08-22,1851.5293,1933.7779,1831.9017,1928.1700
2000-08-23,1928.1705,1941.2555,1869.2880,1873.9612
2000-08-24,1887.0459,1953.4056,1883.3073,1907.6080
2000-08-25,1991.7267,2074.9101,1982.3803,2046.8707
2000-08-28,2010.4191,2063.6938,1986.1184,2058.0859
2000-08-29,2052.4780,2063.6937,2002.9419,2059.0205
2000-08-30,2087.0602,2087.0602,2009.4847,2032.8508
2000-08-31,2045.0012,2059.9555,1997.3344,2032.8508
2000-09-01,2051.5431,2051.5431,1991.7259,1995.4645
2000-09-04,2023.5032,2070.2353,1995.4639,2042.1960
2000-09-05,2037.5232,2056.2161,1974.9021,1974.9021
2000-09-06,1959.9488,2001.0732,1948.7331,1949.6677
2000-09-07,1897.3270,1925.3663,1893.5884,1894.5231
2000-09-08,1894.5235,1937.5171,1861.8109,1890.7849
