Date,Open,High,Low,Close
2000-01-04,377.1835,397.9620,376.8313,396.9055
2000-01-05,395.4968,412.0492,390.9184,412.0492
2000-01-06,412.0492,413.8101,390.9184,413.8101
2000-01-07,413.8101,413.8101,396.2011,408.5274
2000-01-10,408.5274,408.5274,408.5274,408.5274
2000-01-11,408.5273,410.2882,393.0314,395.1445
2000-01-12,397.9620,436.3495,395.8489,417.3318
2000-01-13,431.4189,449.7322,431.4189,443.7451
2000-01-14,471.9195,475.4413,463.1150,475.0891
2000-01-17,471.9195,472.9760,461.7063,468.7499
2000-01-18,457.1281,459.5933,450.0845,453.6063
2000-01-19,457.8324,460.2977,450.7888,451.8454
2000-01-20,463.1150,468.3977,458.8888,464.8759
2000-01-21,464.8759,468.0455,452.1975,464.8759
2000-01-24,468.3978,478.6110,465.5804,472.2718
2000-01-25,470.8629,473.6804,464.5237,464.8759
2000-01-26,464.8758,468.3976,451.8452,457.8323
2000-01-27,450.7888,454.3106,440.2234,452.1975
2000-01-28,457.8323,457.8323,440.2234,441.9843
2000-01-31,441.9842,459.5932,441.9842,457.8323
2000-02-01,461.3542,461.3542,444.4496,451.8454
2000-02-02,454.3106,455.7193,442.3365,442.3365
2000-02-03,442.3364,445.1539,437.0538,439.5190
2000-02-04,437.0538,439.1668,415.5709,415.5709
2000-02-07,450.7887,455.3670,438.4625,443.7451
2000-02-08,450.7889,461.0021,447.6193,449.0280
2000-02-09,463.1151,463.1151,448.6758,457.4803
2000-02-10,450.4366,460.6497,446.2104,446.2104
2000-02-11,446.2104,446.2104,446.2104,446.2104
2000-02-14,449.3802,452.1977,440.9279,450.7889
2000-02-15,440.2234,446.9148,433.5320,436.7016
2000-02-16,443.7453,445.8583,430.3625,435.6451
2000-02-17,440.2233,457.8323,430.3623,457.8323
2000-02-18,455.0151,457.4803,448.6759,450.7889
2000-02-21,436.7015,443.7451,431.4188,433.5319
2000-02-22,435.9972,440.2234,433.1798,436.7016
2000-02-23,436.7016,439.1669,423.6710,429.3058
2000-02-24,426.8407,428.9538,424.0233,427.5450
2000-02-25,432.4756,438.4626,427.8972,436.3495
2000-02-28,436.3495,436.3495,426.1364,434.9408
2000-02-29,441.9843,441.9843,422.6145,426.1363
