Date,Open,High,Low,Close
2000-01-04,2874.2246,2915.8799,2684.6923,2709.6855
2000-01-05,2397.2696,2528.4841,2295.2137,2488.9114
2000-01-06,2499.3258,2624.2921,2291.0487,2295.2141
2000-01-07,2249.3935,2401.4357,2193.1586,2274.3867
2000-01-10,2274.3867,2274.3867,2274.3867,2274.3867
2000-01-11,2607.6303,2690.9409,2551.3953,2690.9409
2000-01-12,2565.9739,2686.7747,2530.5669,2582.6362
2000-01-13,2499.3248,2520.1524,2405.6001,2459.7522
2000-01-14,2559.7258,2728.4303,2534.7327,2645.1196
2000-01-17,2707.6029,2897.1349,2686.7751,2882.5557
2000-01-18,2884.6378,2884.6378,2645.1193,2693.0229
2000-01-19,2651.3679,2651.3679,2538.8981,2588.8848
2000-01-20,2628.4576,2707.6031,2628.4576,2665.9475
2000-01-21,2707.6022,2770.0853,2676.3606,2732.5955
2000-01-24,2734.6784,2872.1412,2718.0163,2805.4927
2000-01-25,2832.5692,3040.8461,2832.5692,2967.9492
2000-01-26,3020.0193,3207.4688,3020.0193,3207.4688
2000-01-27,3124.1561,3226.2120,3024.1831,3203.3013
2000-01-28,3205.3863,3242.8762,3144.9860,3199.1379
2000-01-31,3074.1703,3207.4678,3074.1703,3105.4119
2000-02-01,3103.3297,3269.9517,2953.3702,3269.9517
2000-02-02,3309.5234,3372.0066,3247.0403,3251.2061
2000-02-03,3257.4538,3332.4336,3186.6395,3332.4336
2000-02-04,3540.7117,3748.9890,3465.7320,3686.5059
2000-02-07,3540.7101,3571.9517,3438.6546,3490.7236
2000-02-08,3449.0692,3503.2212,3303.2751,3303.2751
2000-02-09,3307.4412,3374.0898,3103.3294,3228.2957
2000-02-10,3228.2957,3326.1861,3165.8125,3228.2957
2000-02-11,3228.2957,3228.2957,3228.2957,3228.2957
2000-02-14,3144.9846,3165.8121,3063.7565,3124.1567
2000-02-15,3249.1230,3269.9508,3113.7430,3124.1567
2000-02-16,3249.1233,3311.6065,3186.6402,3305.3582
2000-02-17,3388.6697,3513.6360,3388.6697,3513.6360
2000-02-18,3367.8413,3428.2416,3301.1927,3334.5168
2000-02-21,3292.8621,3363.6765,3224.1306,3342.8486
2000-02-22,3394.9172,3394.9172,3184.5571,3263.7026
2000-02-23,3251.2066,3278.2824,3153.3161,3169.9785
2000-02-24,3336.5996,3355.3446,3217.8817,3222.0471
2000-02-25,3388.6684,3413.6617,3313.6887,3394.9167
2000-02-28,3436.5718,3630.2695,3415.7440,3551.1243
2000-02-29,3592.7790,3603.1928,3436.5713,3488.6406
2000-03-01,3655.2646,3655.2646,3540.7120,3644.8508
2000-03-02,3676.0920,3676.0920,3540.7117,3540.7117
2000-03-03,3563.6208,3571.9517,3403.2473,3426.1580
2000-03-06,3467.8150,3582.3676,3403.2490,3419.9114
2000-03-07,3332.4342,3332.4342,3157.4815,3288.6960
2000-03-08,3176.2264,3288.6960,3176.2264,3288.6960
2000-03-09,3219.9636,3228.2945,3092.9145,3134.5698
2000-03-10,3342.8462,3384.5015,3294.9425,3384.5015
2000-03-13,3176.2267,3178.3092,2967.9494,3082.5020
2000-03-14,3020.0179,3249.1226,2915.8791,3249.1226
2000-03-15,3207.4668,3249.1221,3040.8450,3155.3975
2000-03-16,3280.3635,3332.4329,3207.4667,3280.3635
2000-03-17,3355.3447,3355.3447,3301.1928,3326.1860
2000-03-20,3326.1860,3326.1860,3326.1860,3326.1860
2000-03-21,3284.5303,3284.5303,3126.2399,3174.1436
2000-03-22,3132.4872,3165.8113,2986.6932,3042.9280
2000-03-23,3020.0186,3051.2601,2978.3629,3020.0186
2000-03-24,3020.0186,3042.9289,2990.8596,3020.0186
2000-03-27,3061.6736,3097.0806,2957.5352,3055.4253
2000-03-28,3021.6668,3230.0574,2990.4082,3219.6379
2000-03-29,3292.5734,3563.4815,3271.7346,3538.4746
2000-03-30,3538.4755,3542.6432,3438.4479,3498.8811
2000-03-31,3332.1680,3436.3632,3230.0564,3230.0564
2000-04-03,3230.0557,3367.5935,3167.5385,3207.1328
