Date,Open,High,Low,Close
2010-02-22,123.1330,133.3941,123.1330,129.7561
2010-02-23,130.5957,130.5957,126.3979,130.1292
2010-02-24,125.9315,129.6628,125.6516,126.4912
2010-02-25,129.2897,129.3830,126.4912,128.7300
2010-02-26,126.1181,129.5695,125.4651,128.8233
2010-03-01,129.2897,129.3830,126.0248,128.4501
2010-03-02,127.4240,132.3680,127.4240,131.5285
2010-03-03,131.5285,133.9539,131.5285,133.9539
2010-03-04,134.5135,135.4463,130.7822,131.6217
2010-03-05,131.5285,132.9277,126.8644,130.1292
2010-03-08,134.9800,134.9800,131.7151,133.1143
2010-03-09,133.1143,136.1926,132.0882,135.2598
2010-03-10,136.8456,137.1254,134.7934,134.8867
2010-03-11,134.8866,135.1664,131.9015,134.2336
2010-03-12,131.7150,133.6740,130.8755,132.4613
2010-03-15,128.8233,132.1814,127.7972,130.5956
2010-03-16,129.1964,131.3419,129.1964,131.3419
2010-03-17,131.4352,133.6739,129.6628,131.1553
2010-03-18,130.5956,133.7672,130.5956,133.7672
2010-03-19,133.7673,134.7934,132.4613,132.4613
2010-03-23,134.8866,137.2187,133.2075,135.6329
2010-03-24,135.5396,137.4053,132.9277,133.0210
2010-03-25,134.9800,134.9800,130.8755,132.1815
2010-03-26,134.2337,134.2337,132.0882,133.3942
2010-03-29,133.8606,136.0993,132.5546,135.8195
2010-03-30,135.7262,137.8717,134.8867,135.2598
2010-03-31,135.2598,135.2598,132.4613,133.2076
2010-04-01,133.8605,134.7001,132.4613,134.5135
2010-04-02,132.8344,138.0583,132.0882,132.8344
2010-04-05,133.3009,135.2598,133.3009,133.9539
2010-04-06,134.7933,134.8866,132.4613,133.6740
2010-04-07,133.7672,134.5135,131.9949,133.6740
2010-04-08,132.2748,132.6479,131.1554,131.4352
2010-04-09,131.1553,132.9277,130.6889,132.9277
2010-04-12,131.6218,133.2076,130.9688,131.2486
2010-04-13,130.8755,130.8755,127.7972,129.9427
2010-04-14,130.5956,131.5285,130.2225,130.5956
2010-04-15,134.3269,136.1926,133.0210,134.1404
2010-04-16,134.9799,136.6590,134.9799,136.1926
2010-04-19,136.0060,138.9911,136.0060,138.0583
2010-04-20,139.5508,142.5358,139.5508,139.8306
2010-04-21,141.9761,143.6552,141.8828,141.8828
2010-04-22,143.4687,144.5880,141.9761,144.5880
2010-04-23,143.2821,145.5208,143.2821,144.7746
2010-04-26,144.4015,144.4015,141.7896,144.3082
2010-04-27,144.5880,145.5208,142.2560,144.9612
2010-04-28,140.3903,142.7224,138.8978,142.7224
2010-04-30,138.4314,138.4314,131.9949,135.2598
2010-05-06,126.8644,127.0509,124.5323,124.6256
2010-05-07,111.8458,116.5100,110.1668,113.3384
2010-05-10,114.1779,118.0025,113.3384,117.5361
2010-05-11,125.9315,125.9315,117.9092,117.9092
2010-05-12,117.4428,117.4428,113.4316,114.7376
2010-05-13,115.7637,118.5622,114.7376,115.7637
2010-05-14,116.9764,116.9764,112.8719,115.7637
2010-05-17,112.9652,113.3383,109.1406,109.5137
2010-05-18,111.0063,111.8458,107.2750,107.3683
2010-05-19,101.8646,113.8981,101.3982,110.5399
2010-05-20,107.7414,112.8719,107.7414,109.1406
2010-05-21,100.7452,105.4093,100.7452,104.8496
2010-05-24,105.4093,108.2078,103.7303,108.2078
2010-05-25,106.8086,106.8086,101.7713,101.7713
2010-05-26,101.7713,106.2489,100.4654,101.4915
2010-05-27,100.3721,104.9429,100.1855,104.9429
2010-05-28,107.2750,109.1406,106.3421,108.1145
2010-05-31,111.0063,117.1629,110.3533,117.0696
2010-06-01,115.6704,116.8831,112.9652,112.9652
2010-06-02,111.9391,111.9391,108.2078,108.3944
2010-06-03,111.0063,111.9391,108.0212,111.0063
2010-06-04,110.0735,110.0735,107.7414,107.7414
2010-06-07,101.6780,102.1445,99.4393,100.2788
2010-06-08,100.2788,101.4915,99.8124,99.8124
2010-06-09,99.8124,100.7452,98.0400,98.0400
2010-06-10,96.5475,97.8535,94.4020,96.0811
2010-06-11,98.1333,100.1855,97.0139,97.0139
2010-06-14,99.8124,105.8758,97.9468,103.1706
2010-06-15,100.7452,101.6780,100.4654,101.1183
2010-06-16,104.5698,104.7564,101.6780,103.5437
2010-06-17,104.4765,106.3422,104.3832,104.8496
2010-06-18,105.4094,105.4094,102.3310,102.3310
2010-06-21,104.0101,105.1295,103.7303,104.9429
2010-06-22,104.4765,104.4765,103.0773,103.0773
2010-06-23,102.6109,102.6109,99.9057,100.0922
2010-06-24,100.0922,100.0922,100.0922,100.0922
2010-06-25,98.8795,98.8795,96.0811,97.0139
2010-06-28,97.4871,97.4871,90.8618,91.1458
2010-06-29,88.3063,91.8083,88.3063,91.8083
2010-06-30,87.0759,88.4956,86.1294,87.0759
2010-07-01,92.2815,93.1334,88.6849,91.8083
2010-07-02,88.9689,92.7548,88.9689,90.6725
2010-07-05,91.2404,94.6477,91.2404,92.3762
2010-07-06,92.2815,92.2815,88.9688,90.1993
2010-07-07,91.5244,91.5244,87.0759,87.4545
2010-07-08,89.9153,96.0674,89.9153,94.6477
2010-07-09,96.3514,99.1908,93.7959,97.3925
2010-07-12,99.1908,102.6928,95.6888,95.6888
2010-07-13,97.3925,101.7463,97.0139,100.9891
2010-07-14,108.2770,108.8449,104.5857,106.9519
2010-07-15,104.3018,111.2110,104.2071,106.0054
2010-07-16,104.3964,104.3964,99.5694,101.2731
2010-07-21,99.2855,100.1373,98.5283,99.8533
2010-07-22,97.2978,97.2978,94.1745,95.5942
2010-07-23,97.1086,100.3266,97.1086,98.9069
2010-07-26,98.9069,98.9069,98.9069,98.9069
2010-07-27,103.6392,105.0590,103.1660,103.7339
2010-07-28,103.7339,104.5857,103.2607,104.1125
2010-07-29,104.3964,104.3964,97.4871,100.6105
2010-07-30,97.4872,100.4212,96.5407,99.3801
2010-08-02,97.1086,100.3266,96.5407,98.9069
2010-08-03,100.1373,102.2195,99.3801,99.9480
2010-08-04,102.0302,102.0302,97.9604,100.2319
2010-08-05,98.5283,102.5981,98.5283,100.3266
2010-08-06,99.8533,100.3266,97.4872,98.0550
2010-08-09,97.9604,102.5981,96.4460,100.9891
2010-08-10,102.2196,105.0590,102.2196,104.1125
2010-08-11,99.4747,100.6105,98.1497,99.2854
2010-08-12,95.6888,97.2032,92.8494,94.6477
2010-08-13,96.0674,96.0674,93.0387,95.1210
2010-08-16,89.4421,90.8618,81.8703,86.6027
2010-08-17,85.1830,85.6562,82.2489,84.2365
2010-08-18,84.2365,84.2365,84.2365,84.2365
2010-08-19,88.2116,89.6314,86.1294,88.0224
2010-08-20,87.0759,87.8331,85.4669,87.5491
2010-08-23,85.6562,86.6027,82.3435,82.3435
2010-08-24,81.7756,81.7756,77.7058,78.6522
2010-08-25,76.6646,78.4629,75.4342,75.4342
2010-08-26,78.1790,78.1790,76.1914,77.6111
2010-08-27,76.2861,80.4506,75.9075,80.3559
2010-08-30,81.8703,83.5739,79.0309,79.6934
2010-08-31,79.0308,79.0308,77.2325,77.5165
2010-09-01,77.2325,77.7058,75.5289,76.0968
2010-09-02,78.5576,78.5576,74.9610,78.3683
2010-09-03,76.6646,77.4218,75.5289,75.8128
2010-09-06,77.1379,79.4094,77.0432,79.2201
2010-09-07,80.2612,80.2612,77.3272,77.3272
2010-09-08,77.0432,78.5576,75.7182,76.3807
2010-09-09,76.7593,77.6111,75.5289,76.1914
2010-09-10,76.3807,79.2201,76.2861,77.4218
2010-09-13,78.5576,80.5452,78.0844,79.9773
2010-09-14,82.3435,83.4793,80.3559,80.9238
2010-09-16,84.0472,84.0472,81.1131,82.4382
2010-09-17,83.2900,83.3846,81.5863,82.1542
2010-09-21,84.2365,85.1829,82.5328,82.5328
2010-09-22,81.4917,82.3435,81.3971,81.3971
2010-09-24,80.4506,80.4506,78.5576,79.1255
2010-09-27,79.1255,79.5041,77.5165,78.0844
2010-09-28,77.6111,78.4630,77.6111,78.0844
2010-09-29,78.0844,79.6934,78.0844,78.7469
2010-09-30,79.7880,80.2613,78.0844,78.7469
2010-10-01,79.9773,79.9773,78.4630,79.5987
2010-10-04,79.0308,79.5987,78.5576,78.6522
2010-10-05,78.5576,79.4094,77.8004,79.1255
2010-10-06,77.8951,80.0720,77.8951,79.2201
2010-10-07,79.2201,79.2201,79.2201,79.2201
2010-10-08,78.1790,78.5576,77.8951,77.8951
2010-10-12,79.3148,79.3148,76.8539,78.0844
2010-10-13,77.0432,78.0844,76.9486,77.0432
2010-10-14,76.6647,77.5165,76.3807,76.3807
2010-10-15,76.2860,76.2860,73.9199,75.4342
