Date,Open,High,Low,Close
2005-09-29,794.8930,805.7820,767.6707,789.4485
2005-09-30,794.8930,833.0043,773.1151,811.2264
2005-10-03,794.8931,800.3376,751.3373,773.1152
2005-10-04,778.5595,784.0040,751.3371,762.2261
2005-10-05,767.6705,784.0040,751.3371,762.2261
2005-10-06,745.8928,751.3373,718.6704,729.5594
2005-10-07,729.5594,751.3373,724.1149,729.5594
2005-10-10,729.5594,729.5594,729.5594,729.5594
2005-10-11,751.3372,789.4485,745.8928,789.4485
2005-10-12,794.8929,811.2263,773.1150,784.0040
2005-10-13,767.6708,811.2266,767.6708,805.7822
2005-10-14,805.7819,811.2263,773.1150,784.0040
2005-10-17,778.5597,778.5597,751.3373,751.3373
2005-10-18,751.3371,773.1150,745.8926,756.7816
2005-10-19,767.6705,773.1150,756.7816,762.2261
2005-10-20,767.6708,778.5597,762.2263,773.1152
2005-10-21,751.3373,773.1152,751.3373,773.1152
2005-10-24,767.6705,773.1150,756.7816,762.2261
2005-10-25,767.6707,773.1152,762.2262,767.6707
2005-10-26,762.2263,773.1152,756.7818,773.1152
2005-10-27,784.0040,789.4484,778.5595,784.0040
2005-10-28,784.0039,794.8929,778.5594,778.5594
2005-10-31,789.4485,794.8930,778.5596,789.4485
2005-11-01,805.7820,827.5599,805.7820,827.5599
2005-11-02,811.2263,871.1155,805.7818,860.2266
2005-11-03,860.2268,898.3381,860.2268,898.3381
2005-11-04,898.3381,909.2271,887.4492,898.3381
2005-11-07,909.2271,925.5605,892.8937,898.3381
2005-11-08,903.7827,909.2272,876.5603,882.0048
2005-11-09,854.7822,871.1156,849.3377,849.3377
2005-11-10,838.4490,854.7824,805.7821,843.8934
2005-11-11,865.6711,871.1156,843.8932,849.3377
2005-11-14,854.7821,854.7821,827.5597,833.0042
2005-11-15,827.5603,838.4492,816.6713,822.1158
2005-11-16,805.7820,833.0044,805.7820,827.5599
2005-11-17,833.0045,849.3379,822.1155,843.8934
2005-11-18,876.5603,882.0048,860.2269,865.6714
2005-11-21,865.6711,871.1156,838.4488,849.3377
2005-11-22,833.0047,838.4492,816.6713,822.1158
2005-11-23,822.1158,822.1158,822.1158,822.1158
2005-11-24,827.5598,838.4487,805.7819,811.2264
2005-11-25,811.2264,860.2267,800.3375,849.3377
2005-11-28,849.3376,854.7821,827.5597,833.0042
2005-11-29,833.0045,849.3379,822.1155,843.8934
2005-11-30,843.8937,849.3382,822.1158,822.1158
2005-12-01,833.0045,843.8934,822.1155,843.8934
2005-12-02,854.7822,865.6711,843.8932,849.3377
2005-12-05,849.3380,876.5603,838.4490,865.6714
2005-12-06,871.1157,892.8936,854.7823,887.4492
2005-12-07,903.7826,914.6715,882.0047,887.4492
2005-12-08,887.4489,898.3379,843.8931,860.2266
2005-12-09,860.2266,860.2266,860.2266,860.2266
2005-12-12,909.2271,925.5605,898.3381,898.3381
2005-12-13,898.3381,903.7826,887.4492,898.3381
2005-12-14,909.2272,925.5606,887.4493,892.8937
2005-12-15,882.0047,898.3381,876.5602,887.4492
2005-12-16,892.8937,898.3382,876.5603,892.8937
2005-12-19,892.8937,898.3382,882.0048,892.8937
2005-12-20,898.3381,914.6716,892.8937,914.6716
2005-12-21,914.6715,920.1159,903.7825,909.2270
2005-12-22,909.2270,909.2270,909.2270,909.2270
2005-12-23,909.2270,909.2270,909.2270,909.2270
2005-12-26,909.2270,909.2270,909.2270,909.2270
2005-12-27,898.3381,909.2271,892.8937,898.3381
2005-12-28,892.8937,898.3381,887.4492,898.3381
2005-12-29,898.3382,898.3382,882.0048,882.0048
2005-12-30,887.4492,887.4492,865.6713,871.1158
2006-01-02,871.1158,871.1158,871.1158,871.1158
2006-01-03,871.1158,871.1158,871.1158,871.1158
2006-01-04,892.8936,898.3381,882.0047,887.4492
2006-01-05,898.3382,898.3382,887.4493,892.8937
2006-01-06,887.4489,892.8934,876.5599,876.5599
2006-01-09,876.5599,876.5599,876.5599,876.5599
2006-01-10,882.0047,887.4492,827.5600,838.4489
2006-01-11,833.0045,843.8934,822.1155,843.8934
2006-01-12,838.4487,838.4487,822.1153,833.0042
2006-01-13,833.0044,838.4489,822.1155,827.5599
2006-01-16,827.5597,849.3376,822.1153,833.0042
2006-01-17,833.0044,854.7823,827.5599,827.5599
2006-01-18,816.6713,833.0047,794.8934,822.1158
2006-01-19,816.6708,838.4487,816.6708,833.0042
2006-01-20,843.8934,854.7823,822.1155,827.5599
2006-01-23,794.8931,816.6710,794.8931,816.6710
2006-01-24,822.1155,833.0044,811.2265,816.6710
2006-01-25,827.5599,843.8934,822.1155,827.5599
2006-01-26,838.4487,860.2266,838.4487,860.2266
2006-01-27,882.0045,909.2268,882.0045,903.7823
2006-01-30,925.5605,931.0050,903.7826,914.6716
2006-01-31,914.6716,931.0050,909.2271,920.1160
2006-02-01,909.2268,920.1158,903.7823,903.7823
2006-02-02,920.1160,925.5605,914.6716,920.1160
2006-02-03,920.1160,925.5605,909.2271,920.1160
2006-02-06,920.1160,925.5605,898.3381,898.3381
2006-02-07,909.2268,909.2268,898.3379,903.7823
2006-02-08,887.4489,892.8934,876.5599,876.5599
2006-02-09,892.8936,903.7826,876.5602,887.4492
2006-02-10,898.3378,898.3378,860.2265,876.5599
2006-02-13,865.6714,871.1159,849.3380,865.6714
2006-02-14,865.6710,882.0044,854.7820,876.5599
2006-02-15,892.8938,898.3382,876.5603,882.0048
2006-02-16,887.4492,898.3381,876.5602,898.3381
2006-02-17,892.8937,903.7827,887.4493,892.8937
2006-02-20,882.0047,887.4491,843.8933,854.7823
2006-02-21,865.6713,876.5603,860.2268,871.1158
2006-02-22,876.5603,882.0048,860.2269,865.6714
2006-02-23,882.0047,898.3381,876.5602,887.4492
2006-02-24,892.8934,909.2268,892.8934,903.7823
2006-02-27,914.6715,925.5605,909.2271,925.5605
2006-02-28,936.4492,952.7827,925.5603,952.7827
2006-03-01,947.3381,952.7826,925.5602,931.0047
2006-03-02,936.4492,941.8936,925.5602,931.0047
2006-03-03,931.0050,931.0050,909.2271,920.1160
2006-03-06,920.1160,925.5605,909.2271,914.6716
2006-03-07,914.6715,920.1159,903.7825,909.2270
2006-03-08,903.7826,909.2271,892.8937,898.3381
2006-03-09,898.3381,914.6716,898.3381,914.6716
2006-03-10,914.6716,936.4494,909.2271,920.1160
2006-03-13,931.0047,941.8937,925.5603,941.8937
2006-03-14,941.8936,947.3381,925.5602,931.0047
2006-03-15,931.0050,936.4494,920.1160,920.1160
2006-03-16,925.5605,925.5605,898.3381,898.3381
2006-03-17,909.2270,914.6715,898.3380,909.2270
2006-03-20,914.6716,925.5605,909.2271,920.1160
2006-03-21,920.1160,920.1160,920.1160,920.1160
2006-03-22,920.1160,925.5605,909.2271,914.6716
2006-03-23,920.1159,925.5604,909.2270,909.2270
2006-03-24,903.7826,920.1160,903.7826,920.1160
2006-03-27,920.1160,925.5605,914.6715,925.5605
2006-03-28,922.2861,922.2861,911.3715,916.8288
2006-03-29,916.8284,933.2004,911.3711,933.2004
2006-03-30,944.1152,982.3164,938.6579,971.4017
